Date,Open,Close,Volume
2023-01-01,100.99342830602247,100.39159759819371,1074
2023-01-02,200.7168997036801,201.05303842639572,3885
2023-01-03,302.0122767798815,302.0311653810542,4217
2023-01-04,405.05833649269755,405.2048506405208,3175
2023-01-05,504.59002974325085,503.43051506746764,4924
2023-01-06,604.1217558293525,604.1585210907409,3089
2023-01-07,707.2801814603673,708.0271788972354,2379
2023-01-08,808.8150509186731,810.9917663303657,1040
2023-01-09,907.8761021468032,909.315008385931,3981
2023-01-10,1008.9612222339751,1012.1909959202425,3081
2023-01-11,1108.0343868483503,1106.8833655040182,4088
2023-01-12,1207.1029273412098,1208.4114082962908,2700
2023-01-13,1307.586851884342,1307.8618648929496,4224
2023-01-14,1403.7602913950263,1407.0449957948529,4045
2023-01-15,1500.3104557300003,1499.0980083019676,2401
2023-01-16,1599.1858806715184,1597.9262979082473,1587
2023-01-17,1697.1602184308495,1696.2611294626834,2622
2023-01-18,1797.78871309604,1794.6028695095754,4700
2023-01-19,1895.9726649449976,1895.1840324124764,4945
2023-01-20,1993.148057542327,1992.0093585499965,1341
2023-01-21,2096.07935508017,2096.3049457598845,3074
2023-01-22,2195.627802479197,2196.1404364428627,4896
2023-01-23,2295.7628588885727,2298.5771151473964,4358
2023-01-24,2392.9133625161458,2394.3389982734247,1645
2023-01-25,2491.8245970670955,2490.959241583602,1730
2023-01-26,2592.046442246515,2590.6988202394928,1167
2023-01-27,2689.7444550916707,2690.4823338489305,1609
2023-01-28,2790.495851128362,2788.515501317831,3315
2023-01-29,2889.2945737485247,2892.041761897306,2772
2023-01-30,2988.7111862489382,2990.4803464300203,3040
2023-01-31,3087.5077730244793,3086.804009546322,3868
2023-02-01,3191.2123293934974,3188.642627599861,1454
2023-02-02,3291.1853349440216,3293.21614350527,3953
2023-02-03,3389.06991308611,3388.898103318231,2708
2023-02-04,3490.7150029103163,3492.5717273782766,4472
2023-02-05,3588.273315610374,3585.8816741221826,3969
2023-02-06,3688.6910428003835,3687.7919802659526,4028
2023-02-07,3784.771702552624,3784.779568102201,4547
2023-02-08,3882.115330454827,3882.185801345474,1701
2023-02-09,3982.5090529265653,3981.8339547193464,3681
2023-02-10,4083.9859860865563,4084.9202609850777,4629
2023-02-11,4184.3287226489365,4182.727292004863,2599
2023-02-12,4284.09742608416,4283.883856856628,1129
2023-02-13,4383.495218692982,4383.67566214055,4067
2023-02-14,4480.538174712247,4481.309832963336,2845
2023-02-15,4579.098486295458,4580.165908612592,2386
2023-02-16,4678.177208753539,4676.490245615782,4776
2023-02-17,4780.291453205977,4777.990281949873,3866
2023-02-18,4880.978689785114,4882.895205017961,1692
2023-02-19,4977.452609474388,4977.9510804923575,4363
2023-02-20,5078.100777413178,5076.978047608342,2394
2023-02-21,5177.330612852345,5179.657340815629,1793
2023-02-22,5275.976768851733,5276.150280803173,1028
2023-02-23,5377.200121429415,5378.969067205511,1148
2023-02-24,5479.262120474407,5479.363398196522,4850
2023-02-25,5581.12468071264,5584.215802599963,2319
2023-02-26,5679.446245666195,5682.07925692986,3058
2023-02-27,5778.827820914493,5778.454374691774,4583
2023-02-28,5879.4903477773,5880.9477042037315,3723
2023-03-01,5981.441438031545,5982.409501955923,2136
2023-03-02,6080.483089555854,6082.536036892153,1186
2023-03-03,6180.1117716025265,6178.664386411656,3854
2023-03-04,6277.899101654514,6278.928178844511,3791
2023-03-05,6375.506688406353,6377.094325136627,2250
2023-03-06,6477.131740051141,6474.493630821506,2333
2023-03-07,6579.844220108283,6578.069332339284,1097
2023-03-08,6679.700199865122,6676.641351598482,1054
2023-03-09,6781.707265660906,6781.3031554092395,3670
2023-03-10,6882.430537711001,6883.506851094695,3711
2023-03-11,6981.140298201791,6983.3938337799345,1757
2023-03-12,7081.863089412807,7081.974231583437,1405
2023-03-13,7184.939162545739,7187.382085864097,3116
2023-03-14,7284.867510467519,7282.797358280197,4383
2023-03-15,7387.9967977791475,7385.4417241201145,2312
2023-03-16,7482.757307570968,7482.673986022623,2785
2023-03-17,7584.401112579719,7584.977210753128,4619
2023-03-18,7684.575206716195,7684.526164594054,1750
2023-03-19,7783.977192015263,7780.876028865204,4219
2023-03-20,7884.160713568334,7884.027033509065,4538
2023-03-21,7980.185575739132,7978.228871488375,2762
2023-03-22,8079.746231963457,8080.750740786702,4315
2023-03-23,8180.46045710648,8181.010354475626,4562
2023-03-24,8283.416245195964,8282.006425516473,4920
2023-03-25,8382.379704759416,8381.60890438341,4005
2023-03-26,8480.762717553629,8479.173897270795,4578
2023-03-27,8579.75920346646,8579.66518482055,1364
2023-03-28,8681.590007701863,8683.022721182615,3026
2023-03-29,8782.247509921182,8780.768920851679,1481
2023-03-30,8881.187989513648,8881.944059286925,3248
2023-03-31,8982.214524379875,8981.419137952316,1153
2023-04-01,9082.40867947857,9081.219370230177,4521
2023-04-02,9184.345969459637,9184.185423919705,2524
2023-04-03,9282.941863271883,9281.388999788254,3120
2023-04-04,9382.286538978688,9381.456065020668,3760
2023-04-05,9481.502322672422,9479.705505833539,3343
2023-04-06,9578.575292776159,9581.522380475533,2040
2023-04-07,9679.167533330288,9679.220428658246,2664
2023-04-08,9779.689643874648,9778.64005561266,2240
2023-04-09,9879.699870787934,9880.020840654035,1060
2023-04-10,9979.230696521183,9979.062204446647,1938
2023-04-11,10076.399955037083,10076.068500637783,2639
2023-04-12,10175.558664391552,10176.479914441617,3089
2023-04-13,10274.873235358498,10276.009496923569,1024
2023-04-14,10373.268680820054,10372.472929098638,2062
2023-04-15,10472.946109396722,10472.082382035755,4874
2023-04-16,10573.75421111035,10573.341633564623,1130
2023-04-17,10677.526582912771,10674.073701165667,4569
2023-04-18,10777.875738538434,10775.602951945137,2252
2023-04-19,10878.39083931988,10880.441150721046,1107
2023-04-20,10978.241947488348,10980.7093990586,1171
2023-04-21,11074.40440505775,11074.030850998415,2458
2023-04-22,11174.351377306852,11175.216212751435,4549
2023-04-23,11274.471837726735,11274.93871295855,1101
2023-04-24,11379.398321951705,11384.016643164388,3913
2023-04-25,11479.013600022143,11480.692962389294,3571
2023-04-26,11579.61669470681,11579.424818319589,3322
2023-04-27,11679.5472711674,11678.113960506498,2636
2023-04-28,11777.20991509216,11774.800245611774,4115
2023-04-29,11879.49556072119,11879.800756174991,3864
2023-04-30,11980.999426786564,11979.864900668637,4004
2023-05-01,12082.58149068065,12080.448110116253,2040
2023-05-02,12180.762715771061,12179.792856444697,1329
2023-05-03,12283.568304392933,12281.945982387511,4640
2023-05-04,12380.764602267349,12383.295314719957,4894
2023-05-05,12481.938316454949,12483.260776090374,2520
2023-05-06,12586.319227706568,12586.307268744593,4886
2023-05-07,12684.338155056306,12686.55807126464,1011
2023-05-08,12783.205559597101,12783.321612058573,2341
